file,size,custom_grep_avg_time_us,standard_grep_avg_time_us
test_files/file_10.txt,10,6,2
test_files/file_100.txt,100,144,5
test_files/file_110.txt,110,180,6
test_files/file_120.txt,120,217,7
test_files/file_130.txt,130,271,8
test_files/file_140.txt,140,327,10
test_files/file_150.txt,150,392,11
test_files/file_160.txt,160,470,13
test_files/file_170.txt,170,582,16
test_files/file_180.txt,180,771,29
test_files/file_190.txt,190,808,23
test_files/file_20.txt,20,8,2
test_files/file_200.txt,200,887,23
test_files/file_30.txt,30,13,2
test_files/file_40.txt,40,20,2
test_files/file_50.txt,50,30,3
test_files/file_60.txt,60,42,3
test_files/file_70.txt,70,64,3
test_files/file_80.txt,80,83,4
test_files/file_90.txt,90,111,4
