test_files/file_10.txt,10,1,0
test_files/file_100.txt,100,33,95
test_files/file_110.txt,110,42,139
test_files/file_120.txt,120,49,192
test_files/file_130.txt,130,58,262
test_files/file_140.txt,140,78,373
test_files/file_150.txt,150,82,469
test_files/file_160.txt,160,98,596
test_files/file_170.txt,170,112,751
test_files/file_180.txt,180,139,958
test_files/file_190.txt,190,151,1173
test_files/file_20.txt,20,2,0
test_files/file_200.txt,200,169,1447
test_files/file_30.txt,30,4,1
test_files/file_40.txt,40,6,3
test_files/file_50.txt,50,13,7
test_files/file_60.txt,60,13,13
test_files/file_70.txt,70,17,24
test_files/file_80.txt,80,21,40
test_files/file_90.txt,90,27,63
test_files/file_10.txt,10,1,0
test_files/file_100.txt,100,31,94
